OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
3402694,T20130015974,ABS to receive accident,Finished,2/8/2013,21.00.00,Yes,Collision with a fixed object,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,50 km/hr,Yes,262572,144.77399,-37.7093,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2480072.817,2421265.071,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402695,T20130015975,ABS to receive accident,Finished,2/8/2013,22.50.00,Yes,Collision with vehicle,Friday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,T intersection,Serious injury accident,50 km/hr,No,50859,146.87541,-36.11417,Intersection,WODONGA,NORTH EASTERN REGION,2668833.092,2596626.048,2,1,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,SMALL_CITIES,SMALL_CITIES,WODONGA,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3402696,T20130015976,ABS to receive accident,Finished,2/8/2013,21.15.00,Yes,Fall from or in moving vehicle,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Fatal accident,70 km/hr,Yes,45078,144.83457,-37.77779,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2485426.958,2413674.328,6,1,1,0,0,5,2,4,0,4,2,0,0,0,0,0,0,0,0,0,Yes,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro
3402697,T20130015977,ABS to receive accident,Finished,2/8/2013,20.03.00,Yes,Collision with vehicle,Friday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Fatal accident,80 km/hr,No,43940,145.21874,-38.18493,Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2519165.1,2368474.989,3,2,1,0,1,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,"RURAL_VICTORIA,MELB_URBAN","FRANKSTON,CASEY",METROPOLITAN SOUTH EAST REGION,A,A,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Metro
3402698,T20130015980,ABS to receive accident,Finished,30/7/2013,18.30.00,Yes,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,No,T intersection,Other injury accident,80 km/hr,No,37273,145.30555,-38.03467,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2526824.644,2385133.109,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3402699,T20130015983,ABS to receive accident,Finished,3/8/2013,00.45.00,Yes,Collision with vehicle,Saturday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,No,263708,144.02254,-38.23324,Non-Intersection,SURF COAST,SOUTH WESTERN REGION,2414414.561,2362694.752,3,2,1,0,1,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,Yes,0,3,0,3,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SURF COAST,SOUTH WESTERN REGION,A,A,Arterial Highway,Arterial Highway,Divided,Div,Country
3402700,T20130015990,ABS to receive accident,Finished,8/7/2013,18.15.00,Yes,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights unknown,No,Cross intersection,Other injury accident,50 km/hr,No,41594,145.09124,-37.90448,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2508024.141,2399622.693,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402701,T20130015991,ABS to receive accident,Finished,2/8/2013,09.10.00,No,Collision with vehicle,Friday,LEFT NEAR (INTERSECTIONS ONLY),No,Day,No,T intersection,Other injury accident,60 km/hr,No,262573,145.58561,-38.61147,Intersection,BASS COAST,EASTERN REGION,2551018.062,2320984.818,3,2,0,0,2,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,TOWNS,TOWNS,BASS COAST,"EASTERN REGION,EASTERN REGION",,,Local Road,Local Road,Undivided,Undiv,Country
3402702,T20130015994,ABS to receive accident,Finished,1/8/2013,03.20.00,Yes,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,Yes,Dark Street lights on,No,Not at intersection,Other injury accident,50 km/hr,No,264993,144.74927,-36.12683,Non-Intersection,CAMPASPE,NORTHERN REGION,2477430.292,2596854.549,2,2,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,0,0,0,SMALL_CITIES,SMALL_CITIES,CAMPASPE,NORTHERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3402703,T20130015995,ABS to receive accident,Finished,3/8/2013,11.08.00,No,Collision with vehicle,Saturday,REVERSING INTO FIXED OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,262576,145.03084,-37.97719,Non-Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2502709.57,2391555.552,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3402704,T20130015996,ABS to receive accident,Finished,3/8/2013,13.10.00,No,Collision with vehicle,Saturday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,No,264973,144.07773,-37.88095,Non-Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,2418868.233,2401844.977,7,1,0,1,0,6,3,4,0,5,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,GOLDEN PLAINS,SOUTH WESTERN REGION,A,A,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3402705,T20130015997,ABS to receive accident,Finished,1/8/2013,07.40.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Dusk/Dawn,No,T intersection,Serious injury accident,80 km/hr,No,39725,145.26627,-37.78998,Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,2523452.746,2412302.216,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MAROONDAH,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3402706,T20130015809,ABS to receive accident,Finished,30/7/2013,18.30.00,Yes,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Dusk/Dawn,No,T intersection,Other injury accident,60 km/hr,No,43960,145.41458,-38.21373,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2536309.993,2365220.735,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CASEY,METROPOLITAN SOUTH EAST REGION,M,M,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3402707,T20130015812,ABS to receive accident,Finished,31/7/2013,19.00.00,Yes,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,No,T intersection,Other injury accident,Not known,No,262868,144.93754,-37.67698,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2494490.533,2424874.056,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,HUME,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402708,T20130015818,ABS to receive accident,Finished,31/7/2013,17.50.00,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),Yes,Dark Street lights on,Yes,Cross intersection,Other injury accident,70 km/hr,No,29421,145.001,-37.69381,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2500088.397,2423007.608,4,2,0,0,2,2,2,1,0,1,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,"WHITTLESEA,DAREBIN",METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3402709,T20130015819,ABS to receive accident,Finished,31/7/2013,20.15.00,Yes,Collision with a fixed object,Wednesday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,Yes,261266,143.85326,-37.56844,Intersection,BALLARAT,WESTERN REGION,2398704.205,2436311.156,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BALLARAT,WESTERN REGION,A,A,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Country
3402710,T20130015820,ABS to receive accident,Finished,31/7/2013,15.30.00,No,Collision with vehicle,Wednesday,U TURN,No,Day,Yes,T intersection,Serious injury accident,Not known,No,229963,144.73127,-37.85272,Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2476350.799,2405337.335,2,1,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,MELB_URBAN,"RURAL_VICTORIA,MELB_URBAN",WYNDHAM,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3402711,T20130015821,ABS to receive accident,Finished,31/7/2013,22.30.00,Yes,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,Yes,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,No,262257,144.96045,-37.82319,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496518.07,2408647.908,2,1,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Div,Metro
3402712,T20130015827,ABS to receive accident,Finished,1/8/2013,05.31.00,Yes,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,Yes,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,No,262329,145.02605,-37.82339,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2502293.628,2408625.94,2,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,0,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3402713,T20130015828,ABS to receive accident,Finished,31/7/2013,12.30.00,No,Collision with vehicle,Wednesday,LANE CHANGE LEFT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,No,262258,145.0397,-37.84459,Non-Intersection,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2503493.981,2406272.783,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,MELB_URBAN,MELB_URBAN,STONNINGTON,METROPOLITAN SOUTH EAST REGION,M,M,Freeway,Freeway,Divided,Div,Metro
3402714,T20130015833,ABS to receive accident,Finished,1/8/2013,07.00.00,No,Collision with vehicle,Thursday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,43723,144.56755,-37.68758,Intersection,MELTON,METROPOLITAN NORTH WEST REGION,2461859.748,2423613.017,4,1,0,0,1,3,2,2,0,1,3,0,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,SMALL_CITIES,SMALL_CITIES,MELTON,METROPOLITAN NORTH WEST REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3402715,T20130015834,ABS to receive accident,Finished,1/8/2013,08.00.00,No,Struck Pedestrian,Thursday,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,No,Day,Yes,Not at intersection,Other injury accident,Camping grounds or off road,No,262407,144.79241,-37.76336,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2481709.571,2415268.987,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Div,Metro
3402716,T20130015835,ABS to receive accident,Finished,31/7/2013,11.40.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,100 km/hr,No,19333,143.52765,-35.47701,Intersection,SWAN HILL,NORTHERN REGION,2366354.978,2667957.119,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SWAN HILL,NORTHERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3402717,T20130015837,ABS to receive accident,Finished,31/7/2013,08.30.00,No,Collision with vehicle,Wednesday,LEFT NEAR (INTERSECTIONS ONLY),No,Day,No,Cross intersection,Serious injury accident,70 km/hr,No,41219,145.01099,-37.90038,Intersection,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,2500966.472,2400081.599,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,"GLEN EIRA,BAYSIDE",METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3402718,T20130015838,ABS to receive accident,Finished,1/8/2013,08.45.00,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,36215,144.95607,-37.80493,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496131.647,2410674.554,3,1,0,0,1,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3402719,T20130015841,ABS to receive accident,Finished,1/8/2013,06.45.00,No,Collision with vehicle,Thursday,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,40713,145.13239,-37.85188,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2511651.372,2405456.043,3,1,0,0,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Arterial Other",Divided,"Div,Undiv",Metro
3402720,T20130015843,ABS to receive accident,Finished,18/7/2013,18.15.00,Yes,Collision with vehicle,Thursday,RIGHT THROUGH,No,Dark No street lights,No,T intersection,Serious injury accident,60 km/hr,No,70907,145.08439,-38.00127,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2507411.707,2388879.714,2,1,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Metro
3402721,T20130015845,ABS to receive accident,Finished,1/8/2013,08.50.00,No,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,44692,143.58444,-38.33978,Intersection,COLAC OTWAY,SOUTH WESTERN REGION,2376232.993,2350386.407,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,SMALL_CITIES,SMALL_CITIES,COLAC OTWAY,SOUTH WESTERN REGION,A,"A,C",Arterial Highway,"Arterial Highway,Local Road,Arterial Other",Divided,"Div,Undiv",Country
3402722,T20130015847,ABS to receive accident,Finished,1/8/2013,11.50.00,No,Collision with vehicle,Thursday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Day,Yes,Not at intersection,Serious injury accident,50 km/hr,No,262259,145.07111,-37.95982,Non-Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2506249.068,2393481.457,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402723,T20130015849,ABS to receive accident,Finished,1/8/2013,12.45.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,No,Not at intersection,Other injury accident,100 km/hr,No,262913,145.00875,-38.3325,Non-Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2500765.424,2352114.661,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3402724,T20130015850,ABS to receive accident,Finished,31/7/2013,17.55.00,No,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark No street lights,Yes,Not at intersection,Fatal accident,80 km/hr,No,263516,145.82956,-38.44456,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,2572430.934,2339358.441,3,1,1,0,0,2,2,1,0,1,1,1,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTH GIPPSLAND,"EASTERN REGION,EASTERN REGION",A,A,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3402725,T20130015851,ABS to receive accident,Finished,1/8/2013,11.35.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,No,T intersection,Other injury accident,80 km/hr,No,10473,145.236,-37.97233,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2520735.997,2392069.31,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro
3402726,T20130015852,ABS to receive accident,Finished,31/7/2013,18.00.00,Yes,Struck Pedestrian,Wednesday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.,No,Dark Street lights on,No,Not at intersection,Other injury accident,50 km/hr,No,263284,144.90545,-37.80044,Non-Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2491673.457,2411169.598,3,1,0,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro
3402727,T20130015855,ABS to receive accident,Finished,1/8/2013,13.20.00,No,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,T intersection,Other injury accident,50 km/hr,No,53290,146.53815,-38.19506,Intersection,LATROBE,EASTERN REGION,2634743.434,2366283.626,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,SMALL_CITIES,SMALL_CITIES,LATROBE,"EASTERN REGION,EASTERN REGION",,,Local Road,Local Road,Divided,"Div,Undiv",Country
3402728,T20130015856,ABS to receive accident,Finished,1/8/2013,06.48.00,No,Collision with vehicle,Thursday,HEAD ON (NOT OVERTAKING),No,Dusk/Dawn,Yes,Not at intersection,Fatal accident,80 km/hr,No,262230,144.45723,-37.70424,Non-Intersection,MOORABOOL,WESTERN REGION,2452140.217,2421713.883,2,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOORABOOL,WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3402729,T20130015859,ABS to receive accident,Finished,31/7/2013,10.27.00,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,262328,144.291,-36.74945,Non-Intersection,BENDIGO,NORTHERN REGION,2436693.991,2527564.905,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BENDIGO,NORTHERN REGION,A,A,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3402730,T20130015862,ABS to receive accident,Finished,1/8/2013,07.45.00,No,Collision with vehicle,Thursday,LEFT NEAR (INTERSECTIONS ONLY),No,Day,No,Cross intersection,Other injury accident,60 km/hr,No,52805,143.84943,-37.54996,Intersection,BALLARAT,WESTERN REGION,2398341.635,2438358.17,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BALLARAT,WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
3402731,T20130015863,ABS to receive accident,Finished,1/8/2013,12.18.00,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,Yes,262936,144.81072,-37.75857,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2483322.169,2415804.257,2,1,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3402732,T20130015867,ABS to receive accident,Finished,1/8/2013,12.30.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,262408,144.36748,-38.17965,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2444577.369,2368898.61,3,1,0,0,1,2,1,2,0,0,3,0,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Country
3402733,T20130015869,ABS to receive accident,Finished,1/8/2013,13.05.00,No,collision with some other object,Wednesday,STRUCK OBJECT ON CARRIAGEWAY,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,No,262937,145.18164,-36.03533,Non-Intersection,MOIRA,NORTH EASTERN REGION,2516369.837,2607020.959,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,MOIRA,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3402734,T20130015871,ABS to receive accident,Finished,1/8/2013,15.30.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,T intersection,Other injury accident,80 km/hr,No,41796,145.16562,-37.88072,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2514569.566,2402250.993,3,1,0,0,1,2,3,0,0,0,2,0,0,1,0,0,0,0,1,0,No,0,3,0,2,1,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3402735,T20130015872,ABS to receive accident,Finished,1/8/2013,15.30.00,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,262596,145.94699,-36.74985,Non-Intersection,BENALLA,NORTH EASTERN REGION,2584555.258,2527335.492,2,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BENALLA,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3402736,T20130015873,ABS to receive accident,Finished,1/8/2013,15.40.00,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,40 km/hr,No,73283,145.18974,-38.2999,Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2516598.997,2355716.908,4,1,0,0,1,3,1,3,0,2,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402737,T20130015874,ABS to receive accident,Finished,1/8/2013,10.55.00,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,Yes,266279,145.02523,-37.73565,Non-Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2502223.839,2418364.435,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
